Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'92099200,"Parts and accessories for string musical instruments without keyboards, n.e.s. (excluding strings ...",0,10,19,20,1,5,10,2,1,5
'90064000,Instant print cameras (excluding special cameras of subheading 9006.10 or 9006.30),17,1,1,0,1,6,0,1,0,5
'90065100,"Cameras with a through-the-lens viewfinder [single lens reflex ""slr""] for roll film of a width ...",1,2,8,2,6,49,11,8,36,5
'85193090,"Turntables ""record-decks"": other",0,0,0,0,0,0,0,0,18,5
'85011010,"Motors of an output <= 37,5 w: completely knocked down (ckd) to be assembled by domestic industry",0,0,0,0,0,0,0,0,,5
'85051990,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",14,9,14,18,20,5,7,21,36,5
'85139000,"Parts of portable electrical lamps designed to function by their own source of energy, n.e.s.",0,0,0,0,0,0,0,0,,5
'84453000,Textile doubling or twisting machines,40,177,78,42,681,669,609,913,37,5
'84751000,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass ...",2,3,2,65,3,11,67,22,48,5
'84101100,"Hydraulic turbines and water wheels, of a power <= 1.000 kw (excluding hydraulic power engines ...",48,19,59,18,20,1,0,12,23,5
'83061090,"Bells, gongs and the like, non-electric, of base metal (excluding musical instruments): other",49,13,39,21,10,13,6,21,289,5
'83061000,"Bells, gongs and the like, non-electric, of base metal (excluding musical instruments)",0,0,0,0,0,0,0,0,,5
'96086000,"Refills for ball-point pens, comprising the ball-point and ink-reservoir",18,37,87,27,47,23,16,65,16,5
'96019000,"Worked bone, tortoiseshell, horn, antlers, coral, mother-of-pearl and other animal carving ...",3,0,2,4,33,3,8,46,3,4
'97040000,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ...",0,0,1,0,1,0,0,0,,4
'97020090,"Original engravings, prints and lithographs: other original engravings ,prints and lithographs.",5,0,0,10,0,17,0,0,,4
'97060000,Antiques of > 100 years old,0,3,2,0,0,0,0,0,0,4
'95066100,Tennis balls (excluding table tennis balls),3,1,98,14,9,1,27,11,1,4
'94059910,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, n.e.s.: ...",12,333,94,111,36,844,283,136,159,4
'83062100,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",24,0,2,11,42,12,12,14,17,4
'84073200,"Spark-ignition reciprocating piston engine, of a kind used for the propulsion of vehicles of ...",23,35,43,261,6,160,16,78,,4
'84723000,"Machines for sorting or folding mail or for inserting mail in envelopes or bands, machines ...",0,2,49,0,1,11,10,5,51,4
'84589100,"Lathes, incl. turning centres, for removing metal, numerically controlled (excluding horizontal ...",631,126,53,102,1153,1520,310,9,1028,4
'84592100,"Drilling machines for working metal, numerically controlled (excluding way-type unit head machines)",134,170,28,212,350,93,541,103,56,4
'84602200,"Centreless grinding machines for finishing metal, numerically controlled (other than gear finishing ...",0,0,0,0,0,0,0,4,13,4
'85165010,Microwave ovens: presented skd for the assembly industry,0,0,0,0,0,0,0,112,31,4
'85171210,"Telephones for cellular networks ""mobile telephones"" or for other wireless networks: presented ...",0,0,0,0,0,0,0,7402,367,4
'85051910,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",10,11,15,4,4,4,4,23,12,4
'85015220,"Ac motors, multi-phase, of an output > 750 w but <= 75 kw: semi knocked down (skd) to be assembled ...",0,0,0,0,0,0,0,0,,4
'85322200,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",5,10,5,2,3,4,16,11,2,4
'85402000,Television camera tubes; image converters and intensifiers; other photo cathode tubes (excluding ...,17,2,15,10,215,12,24,15,54,4
'85322500,"Fixed electrical capacitors, dielectric of paper or plastics (excluding power capacitors)",3,3,1,7,42,20,2,0,4,4
'86073000,"Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives ...",1,15,38,36,90,7,121,13,70,4
'87029060,"Motor vehicles for the transport of >= 10 persons, incl. driver, not with compression-ignition ...",0,0,0,0,0,0,0,0,,4
'90151010,"Rangefinders: rangefinders ,photographic or cinematographic rangefinders.",100,169,37,67,8,78,14,53,17,4
'92021000,Violins and other string instruments,37,1,145,6,0,0,23,0,3,4
'89071000,Inflatable rafts,0,44,405,541,192,55,8,75,,4
'89039200,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",55,7,5,11,7,7,0,0,,4
'88010000,"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft",47,1,84,30,27,1,0,9,1,4
'08011100,Desiccated coconuts,1,0,0,0,22,4,1,2,2,4
'08022200,"Fresh or dried hazelnuts or filberts ""corylus spp."", shelled",1,28,5,26,2,2,0,6,2,4
'07139000,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",1,4,3,1,15,17,1,9,145,4
'07108000,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",1,4,2,15,0,6,4,5,27,4
'11051000,"Flour, meal and powder of potatoes",1,5,3,1,3,5,0,16,7,4
'11052000,"Flakes, granules and pellets of potatoes",18,0,0,4,10,4,0,1,2,4
'04079000,"Birds' eggs, in shell, preserved or cooked",0,0,0,0,0,1,2,1,1,4
'04081900,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ...",0,0,2,0,1,4,1,0,3,4
'07019000,Fresh or chilled potatoes (excluding seed),0,69,47,117,95,9,0,0,,4
'16056300,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,1,3,4
'19022010,"Pasta, stuffed with meat or other substances, whether or not cooked or otherwise prepared: ...",0,15,106,170,1,0,0,43,25,4
'20084000,"Pears, prepared or preserved, whether or not containing added sugar or other sweetening matter ...",6,2,1,0,10,12,0,1,,4
'20091200,"Orange juice, unfermented, brix value <= 20 at 20°c, whether or not containing added sugar ...",63,58,325,117,103,107,24,1,,4
'19053210,Waffles and wafers: infant or invalid foods,12,1,0,0,8,0,17,0,50,4
'15099090,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,0,1,48,5,8,94,18,0,11,4
'25062000,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular ...",9,52,56,2,10,15,145,14,67,4
'25131000,Pumice stone,5,1,2,0,1,0,1,1,,4
'25301000,"Vermiculite, perlite and chlorites, unexpanded",0,1,19,24,29,9,28,1,26,4
'37019900,"Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, ...",221,150,206,110,166,16,41,76,6,4
'32131000,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",7,17,13,11,2,4,46,45,1,4
'39013090,"Ethylene-vinyl acetate copolymers, in primary forms: other",0,0,0,0,0,0,0,0,373,4
'38151200,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",0,39,59,0,2,26,2,0,14,4
'29029000,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",0,0,0,0,0,0,0,0,,4
'28369100,Lithium carbonates,0,0,0,0,0,54,5,5,1,4
'29394200,"Pseudoephedrine ""inn"" and its salts",0,0,0,0,0,0,0,0,,4
'29313600,"(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate",0,0,0,0,0,0,0,0,,4
'29121900,"Acyclic aldehydes, without other oxygen function (excluding methanal [formaldehyde] and ethanal ...",0,20,26,10,1,0,2,39,9,4
'29163400,Phenylacetic acid and its salts,0,0,0,0,1,0,0,0,3,4
'72132000,"Bars and rods, hot-rolled, in irregularly wound coils, of non-alloy free-cutting steel (excluding ...",1897,2125,1385,1559,2832,1205,55,42,4,4
'72051000,"Granules, of pig iron, spiegeleisen, iron or steel (excluding granules of ferro-alloys, turnings ...",10,114,37,42,15,10,138,16,56,4
'72031000,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",0,197,3009,1177,0,0,450,1424,,4
'70195200,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",126,121,0,69,22,73,11,15,,4
'74102100,"Refined copper foil, backed, of a thickness ""excluding any backing"" of <= 0,15 mm (excluding ...",0,2,1,12,2,2,0,0,,4
'74102200,"Copper alloy foil, backed, of a thickness ""excluding any backing"" of <= 0,15 mm (excluding ...",0,1,0,33,128,21,161,0,8,4
'74050000,"Master alloys of copper (excluding phosphorus-copper compounds copper phosphide"" containing ...",0,0,0,0,0,0,0,0,,4
'72284000,"Bars and rods of alloy steel other than stainless, not further worked than forged (excluding ...",0,2,1920,0,272,5,121,0,18,4
'72292000,"Wire of silico-manganese steel, in coils (excluding bars and rods)",5,144,99,168,20,79,13,11,91,4
'73051200,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",0,4,579,0,0,644,0,191,,4
'61083200,"Women's or girls' nightdresses and pyjamas of man-made fibres, knitted or crocheted (excluding ...",1,9,55,42,144,622,855,40,7,4
'61089900,"Women's or girls' négligés, bathrobes, dressing gowns, housejackets and similar articles of ...",5,36,188,28,114,198,108,48,59,4
'68118100,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos",0,0,0,0,0,0,0,1970,958,4
'63021010,"Bedlinen, knitted or crocheted: hand made, bed linen, knitted or crocheted",14,4,15,4,13,13,11,45,28,4
'62079100,"Men's or boys' singlets and other vests, bathrobes, dressing gowns and similar articles of ...",107,60,33,104,56,69,117,16,460,4
'62072200,"Men's or boys' nightshirts and pyjamas of man-made fibres (excluding knitted or crocheted, ...",0,0,11,0,0,0,4,0,2,4
'40026000,"Isoprene rubber ir"", in primary forms or in plates, sheets or strip""",0,0,0,0,0,0,0,0,,4
'42029100,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",12,150,25,103,36,25,3,5,1,4
'44201000,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)",0,0,0,0,0,0,0,0,,4
'44170020,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",4,0,42,7,74,6,6,33,27,4
'44092200,"Tropical wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped ...",0,0,0,0,0,0,0,0,12,4
'48081010,"Corrugated paper and paperboard ""with or without glued flat surface sheets"", whether or not ...",0,1,1,2,32,18,1,6,25,4
'56013000,Textile flock and dust and mill neps,1,0,45,29,2,19,0,1,,4
'55161200,"Woven fabrics containing >= 85% artificial staple fibres by weight, dyed",3,0,0,0,0,0,5,524,123,4
'55096100,"Yarn containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,,4
'52103100,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,,4
'49059100,"Maps and hydrographic or similar charts of all kinds, incl. atlases and topographical plans, ...",16,10,5,7,37,3,8,2,3,4
'48237000,"Moulded or pressed articles of paper pulp, n.e.s.",2,7,29,21,30,18,4,61,30,4
'49059900,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical ...",84,6,59,26,56,15,25,26,15,3
'54024500,"Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, untwisted ...",1,5,15,23,2,52,724,170,1,3
'53082000,Hemp yarn,0,0,0,0,0,0,38,0,,3
'55151190,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,,3
'56021000,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",44,0,186,653,139,194,71,55,19,3
'56012900,Wadding of textile materials and articles thereof (excluding of cotton or man-made fibres; ...,0,0,0,0,0,0,0,0,,3
'48062000,"Greaseproof papers, in rolls of a width > 36 cm or in square or rectangular sheets with one ...",33,74,7,5,2,11,0,9,10,3
'44101200,"Oriented strand board ""osb"", of wood",2,5,19,29,37,12,19,1,19,3
'62152000,"Ties, bow ties and cravats of man-made fibres (excluding knitted or crocheted)",0,0,179,0,35,104,269,59,66,3
'63101000,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,21,517,1842,780,561,87,16,194,3
'61101100,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",93,38,99,53,10,40,41,4,27,3
'61069000,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",117,341,247,398,451,392,200,17,2,3
'59029000,"Tyre cord fabric of high-tenacity viscose rayon yarn, whether or not dipped in rubber or plastic",5,0,214,0,0,0,29,0,1,3
'59041000,"Linoleum, whether or not cut to shape",13,30,0,0,0,0,32,109,135,3
'73042400,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",138,40,43,1505,1841,30,115,1,39,3
'72285000,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished ...",4,1,9,1,2,101,713,0,1,3
'72281000,"Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...",3052,137,120,537,156,28,248,147,,3
'74152900,"Rivets, cotters, cotter pins and the like, not threaded, of copper (excluding spring washers ...",10,24,23,3,45,18,8,17,4,3
'76020000,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",0,0,24,42,0,7,0,1,1,3
'70189090,"Glass eyes (excluding prosthetic articles); articles of glass beads, or of imitation pearls, ...",4,23,5,13,10,19,23,20,40,3
'70023100,"Tubes of fused quartz or other fused silica, unworked",1,2,1,0,5,3,1,1,1,3
'72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excluding ingots, remelted ...",0,171,88,13,18,0,22,197,1,3
'29213000,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",2,1,6,2,19,111,111,66,44,3
'29262000,"1-cyanoguanidine ""dicyandiamide""",0,0,2,0,0,0,0,0,3,3
'29242100,Ureines and their derivatives; salts thereof,0,0,0,0,0,4,9,7,,3
'28255000,Copper oxides and hydroxides,0,0,3,0,7,53,110,1,,3
'28275900,"Bromides and bromide oxides (excluding of sodium, potassium and mercury)",1,0,3,3,1,2,0,1,1,3
'29054900,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""hydroxymethyl"" propane-1,3-diol ...",2,10,420,73,19,55,101,81,1,3
'31039000,"Mineral or chemical phosphatic fertilisers (excluding superphosphates, those in pellet or similar ...",435,0,18,0,46,32,39,65,54,3
'25221000,Quicklime,47,0,3,5,4,1,0,17,38,3
'26012000,Roasted iron pyrites,0,0,0,0,0,0,0,0,,3
'27112900,"Hydrocarbons in gaseous state, n.e.s. (excluding natural gas)",116,15,51,5,0,6,2,0,,3
'22060090,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic ...",0,0,0,0,0,0,0,0,1,3
'22029910,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer): therapeutic ...",0,0,0,0,0,0,0,4,,3
'15099020,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,0,0,0,0,0,0,0,0,,3
'15011000,"Lard, rendered or otherwise extracted (excluding lard stearin and lard oil)",0,0,0,0,0,0,0,0,,3
'20059100,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",3,6,10,12,3,5,4,2,8,3
'20085000,"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ...",6,33,8,2,6,13,0,0,1,3
'20089300,"Cranberries ""Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"", prepared or ...",0,0,4,0,0,1,0,0,,3
'19021110,"Uncooked pasta, not stuffed or otherwise prepared, containing eggs: uncooked pasta containing ...",0,143,31,1,22,6,172,313,13,3
'16056100,"Sea cucumbers, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,,3
'04052000,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%",1,0,0,10,0,18,0,0,1,3
'03069500,"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones ...",0,0,0,0,0,0,0,0,3,3
'02041000,Fresh or chilled lamb carcases and half-carcases,0,0,23,0,0,0,1,74,,3
'03031900,"Frozen salmonidae (excluding trout and pacific, atlantic and danube salmon)",4,0,1,0,0,1,59,0,1,3
'02109100,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...",0,0,0,0,0,0,11,0,,3
'11081300,Potato starch,2,1,3,1,5,1,15,8,52,3
'12073000,Castor oil seeds,0,0,0,0,0,0,0,0,,3
'10082900,"Millet (excluding grain sorghum, and seed for sowing)",0,0,3,14,2,6,2,4,4,3
'10049000,Oats (excluding seed for sowing),0,0,0,0,71,27,0,12,96,3
'07115900,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",1,1,3,6,4,18,4,9,1,3
'07101000,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",31,18,21,0,19,20,0,1,37,3
'07095100,"Fresh or chilled mushrooms of the genus ""agaricus""",63,24,51,23,25,25,32,12,36,3
'08011900,"Fresh coconuts, whether or not shelled or peeled (excluding in the inner shell ""endocarp"")",2,1,0,6,0,7,11,23,1,3
'09019000,Coffee husks and skins; coffee substitutes containing coffee in any proportion,967,463,557,895,459,597,60,211,157,3
'08023200,"Fresh or dried walnuts, shelled",6,15,1,2,17,8,2,1,2,3
'08025200,"Fresh or dried pistachios, shelled",0,0,5,1,3,3,0,1,3,3
'87168092,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,0,0,0,0,0,0,0,10,192,3
'90012000,Sheets and plates of polarising material,0,9,1383,5,3,0,0,0,3,3
'87116013,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,0,0,0,7,3
'92099400,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",13,8,7,4,4,6,1,1,3,3
'91122000,"Clock and watch cases (excluding for wrist-watches, pocket-watches and other watches of heading ...",0,0,0,0,0,0,0,0,,3
'90314100,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,24,8,13,4,7,5,4,10,10,3
'90309000,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,0,0,0,0,0,0,0,0,,3
'90105000,"Apparatus and equipment for photographic or cinematographic laboratories, n.e.s.; negatoscopes",101,283,6,17,104,126,9,114,40,3
'90212100,Artificial teeth,0,0,0,5,3,5,2,3,12,3
'87033124,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,23,19,3
'85051110,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,24,23,19,12,15,8,40,63,268,3
'84679100,"Parts of chainsaws, for working in the hand, with self-contained electric or non-electric motor, ...",37,8,4,14,5,21,1,6,9,3
'80030000,"Tin bars, rods, profiles and wire, n.e.s.",5,8,29,9,47,10,8,4,4,3
'81060000,"Bismuth and articles thereof, n.e.s.; bismuth waste and scrap (excluding ash and residues containing ...",6,0,2,0,0,1,3,0,,3
'84186110,Heat pumps (excluding air conditioning machines of heading 8415): presented skd for the assembly ...,39,124,201,156,108,743,697,23,15,3
'84229010,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",114,125,46,69,102,24,169,53,5,3
'93070000,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ...",0,0,0,0,0,0,0,4,,3
'96020090,Worked vegetable or mineral carving material and articles of these materials n.e.s; moulded ...,298,255,504,527,404,317,155,74,2,3
'95081000,Travelling circuses and travelling menageries,2,0,0,4,2,12,1,0,,2
'95079000,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",28,3,52,5,45,2,3,12,,2
'84302000,"Snowploughs and snowblowers (excluding those mounted on railway wagons, motor vehicle chassis ...",25,4,1,11,33,3,0,22,13,2
'84433210,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",0,0,0,0,0,0,0,0,,2
'81041900,"Unwrought magnesium, containing < 99,8% by weight of magnesium",0,0,0,0,1,0,1,1,,2
'84012000,"Machinery and apparatus for isotopic separation and parts thereof, n.e.s. [euratom]",0,2,35,16,2,16,1,27,32,2
'84591000,"Way-type unit head machines for drilling, boring, milling, threading or tapping metal",3644,530,88,297,68,520,104,8,9,2
'85051100,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,0,0,0,0,0,0,0,0,,2
'85042310,"Liquid dielectric transformers, having a power handling capacity > 10.000 kva: presented skd ...",0,0,0,0,0,0,0,548,3358,2
'85161030,Electric instantaneous or storage water heaters and immersion heaters: presented cbu form,0,0,0,0,0,0,0,0,,2
'85182110,"Single loudspeakers, mounted in their enclosures: presented skd for the assembly industry",0,0,0,0,0,0,0,56,72,2
'85171310,: presented ckd for the assembly industry,0,0,0,0,0,0,0,0,,2
'87035047,Motor cars and other motor vehicles principally designed for the transport of ...,0,0,0,0,0,0,0,0,16,2
'85352920,"Automatic circuit breakers for a voltage >= 72,5 kv: presented cbu",0,0,0,0,0,0,0,0,,2
'85437010,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85: mobile ...",0,0,0,0,0,0,0,0,,2
'85198910,"Sound recording or sound reproducing apparatus (excluding using magnetic, optical or semiconductor ...",0,0,0,0,0,0,0,0,0,2
'90149010,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.: ...",26,7,2,17,10,0,337,13,17,2
'90131090,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, ...",128,3,7,1,40,134,0,9,3,2
'91031000,"Clocks with watch movements, electrically operated (excluding wrist-watches, pocket-watches ...",4,0,1,1,126,39,3,16,3,2
'91029100,"Pocket-watches and the like, incl. stop-watches, electrically operated (excluding of precious ...",38,2,45,33,1,5,2,21,0,2
'91040000,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, vessels and other ...",0,0,0,0,0,0,0,0,,2
'91149000,"Clock or watch parts, n.e.s.",1,1,1,7,71,2,2,4,8,2
'91119000,"Parts of cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ...",1,2,0,0,0,0,1,6,4,2
'92059000,Wind musical instruments (excluding brass-wind instruments),13,49,51,154,145,9,10,43,4,2
'87111040,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with reciprocating internal ...",0,0,0,0,0,0,0,0,,2
'08013100,"Fresh or dried cashew nuts, in shell",16,4,8,11,0,8,0,6,2,2
'08140000,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",0,2,0,2,6,0,6,0,14,2
'09012100,Roasted coffee (excluding decaffeinated),122,6,129,4,25,167,16,24,83,2
'08021100,Fresh or dried almonds in shell,3,0,5,5,0,1,1,3,7,2
'07129000,"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...",0,0,0,0,0,0,0,2,26,2
'10082100,Millet seed for sowing (excluding grain sorghum),0,0,0,0,0,0,0,1,1,2
'10089090,"Cereals (excluding wheat and meslin, rye, barley, oats, maize, rice, grain sorghum, buckwheat, ...",4,1,5,6,6,2,1,0,6,2
'09082200,"Mace, crushed or ground",0,0,8,8,16,9,0,8,,2
'12075000,"Mustard seeds, whether or not broken",0,7,0,0,0,1,1,0,1,2
'02101100,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in",0,0,3,0,6,0,1,1,3,2
'03023900,"Fresh or chilled tunas of the genus ""thunnus"" (excluding thunnus alalunga, thunnus albacares, ...",20,2,14,0,24,2,0,0,,2
'02032900,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",3,27,1,0,29,6,10,12,25,2
'03071900,"Oysters, smoked, frozen, dried, salted or in brine",0,0,0,0,0,0,0,0,,2
'03074300,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,0,0,0,,2
'03073900,"Mussels ""mytilus spp., perna spp."", smoked, frozen, dried, salted or in brine, with or without ...",13,0,27,0,0,1,8,0,,2
'04014000,"Milk and cream of a fat content by weight of > 6% but <= 10%, not concentrated nor containing ...",0,0,0,0,1,0,2,4,,2
'03076000,"Snails, live, fresh, chilled, frozen, salted, dried or in brine, with or without shell (excl. ...",3,0,0,4,0,0,0,0,,2
'04081100,"Dried egg yolks, whether or not sweetened",0,1,0,2,1,2,1,0,,2
'07049000,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excluding cauliflowers, ...",0,1,1,15,5,4,3,4,4,2
'16055600,"Clams, cockles and arkshells, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,,2
'17026000,"Fructose in solid form and fructose syrup, not containing added flavouring or colouring matter ...",0,0,61,0,99,0,0,54,1,2
'16021000,"Homogenised prepared meat, offal or blood, put up for retail sale as infant food or for dietetic ...",3,1,21,21,0,0,5,2,3,2
'24039900,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...",0,0,2,0,0,0,0,103,141,2
'25087000,Chamotte or dinas earths,0,0,0,0,0,0,0,0,,2
'30031000,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",11,73,237,18278,38,48,222,254,2,2
'32064200,Lithopone and other pigments and preparations based on zinc sulphide of a kind used for colouring ...,0,1,0,1,28,0,0,0,8,2
'39207310,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",0,0,0,0,0,0,0,0,,2
'39043000,"Vinyl chloride-vinyl acetate copolymers, in primary forms",0,21,0,660,224,101,1180,79,,2
'29071900,"Monophenols (excluding phenol ""hydroxybenzene"" and its salts, cresols and their salts, octylphenol, ...",14,21,12,17,4,8,16,1,14,2
'29039200,"Hexachlorobenzene (iso) and ddt (iso) (clofenotane (inn), 1,1,1-trichloro-2,2-bis(p-chloro ...",0,0,0,0,0,0,0,0,,2
'28451000,"Heavy water ""deuterium oxide"" [euratom]",5,0,2,0,1,0,0,0,,2
'28129090,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides): other halides ...,1,18,2,18,58,3,15,69,24,2
'29223900,"Amino-aldehydes, amino-ketones and amino-quinones; salts thereof (excluding those containing ...",0,0,0,0,0,0,2,0,,2
'29221910,"Amino-alcohols, their ethers and esters; salts thereof (other than those containing > one kind ...",2,12,47,4,8,40,24,3,46,2
'29143900,"Ketones, aromatic, without other oxygen function (excluding phenylacetone [phenylpropan-2-one])",0,7,0,4,0,1,0,2,12,2
'29161110,Acrylic acid and its salts: acrylic acid,80,78,254,4,1,0,44,29,208,2
'72155000,"Bars and rods, of iron or non-alloy steel, not further worked than cold-formed or cold-finished ...",515,13,52,412,586,197,574,627,61,2
'73218200,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",16,38,27,4,3,7,10,16,6,2
'59113100,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",36,30,12,7,7,6,17,0,2,2
'60031000,"Knitted or crocheted fabrics of wool or fine animal hair, of a width of <= 30 cm (excluding ...",0,0,0,0,0,0,0,0,,2
'61013000,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",10,4,16,5,9,42,69,13,64,2
'61022000,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",15,5,5,49,28,44,60,9,9,2
'61032300,"Men's or boys' ensembles of synthetic fibres, knitted or crocheted (excluding ski ensembles ...",5,0,14,12,0,12,0,0,1,2
'61083100,"Women's or girls' nightdresses and pyjamas of cotton, knitted or crocheted (excluding t-shirts, ...",5,6,44,11,20,0,3,20,4,2
'61072900,"Men's or boys' nightshirts and pyjamas of textile materials, knitted or crocheted (excluding ...",30,12,38,16,52,7,40,2,1,2
'62042300,"Women's or girls' ensembles of synthetic fibres (excluding knitted or crocheted, ski overalls ...",1246,541,142,94,97,96,213,121,188,2
