Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'38089290,Fungicides (excluding goods of subheading 3808.50): other,2258,790,2087,4780,4353,4297,4677,9274,13291,36005
'72091500,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",35801,31620,34084,35907,35755,35588,8658,26289,30697,35086
'54076900,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,89117,71644,71557,64944,59315,54941,39065,55440,59081,34945
'85287230,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",0,0,0,0,0,0,0,4601,71966,33927
'87089900,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",35407,44734,56539,47682,49614,41567,28726,40276,38073,33306
'88032000,"Under-carriages and parts thereof, for aircraft, n.e.s.",0,1038,3303,2514,6862,5853,6399,6495,5473,33123
'84119100,"Parts of turbojets or turbopropellers, n.e.s.",16,19186,53337,149881,221047,12992,27133,15431,29248,32549
'85371000,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",7070,22326,32073,33638,41827,62029,49084,55674,36248,32298
'84119900,"Parts of gas turbines, n.e.s.",9,1102,627,46165,185,581,28242,1747,9600,30927
'40111000,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",41742,41949,46720,42957,41896,52144,45495,44490,36991,30470
'39269090,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",12959,10045,14837,28252,21093,21990,27210,22082,21009,29930
'62034900,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials (excluding ...",16952,16319,29915,35442,48828,38222,54664,53363,56879,29169
'38089390,"Herbicides, anti-sprouting products and plant-growth regulators (excluding goods of subheading ...",6557,14751,20010,15481,22250,13084,9456,18972,30109,28926
'38089310,"Herbicides, anti-sprouting products and plant-growth regulators (excluding goods of subheading ...",134,7,11,30,464,6,154,1040,2249,28371
'33021010,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",29567,39462,26853,31215,45976,39578,37079,42648,30034,28115
'87112011,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",0,0,0,0,0,0,0,2171,23981,28101
'72071900,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",80,12552,0,3180,13227,817,7673,8777,8163,27759
'85446000,"Electric conductors, for a voltage > 1.000 v, insulated, n.e.s.",20195,24901,13231,12328,36966,47983,46039,9587,12161,27483
'85043390,Transformers having a power handling capacity > 16 kva but <= 500 kva (excluding liquid dielectric ...,0,0,0,0,0,0,0,420,8288,27185
'87041010,Dumpers for off-highway use: new,0,0,0,0,0,0,0,0,,26970
'38089990,Rodenticides and other plant protection products put up for retail sale or as preparations ...,10083,7529,7116,7999,14500,19064,21473,16471,17241,26848
'10079000,Grain sorghum (excluding for sowing),0,0,33680,61922,59231,96880,59738,62731,81072,26750
'87032113,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,3524,20187,26188
'63079000,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",723,486,939,1794,824,1584,1013,1654,63753,26099
'72071200,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,695,851,9467,8506,5668,40905,11087,26047
'87019413,"Tractors, of an engine power > 75 kw but <= 130 kw (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,0,0,2985,3814,25982
'39041000,"Poly""vinyl chloride"", in primary forms, not mixed with any other substances",11988,11962,12372,11303,14226,14804,18923,21261,34420,25626
'90192000,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",1990,4068,919,7556,2115,630,439,2803,8944,25581
'84122900,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,634,1104,1295,1344,5543,2944,1217,2000,1117,25124
'72081000,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",4723,1525,164,2777,2110,3938,7679,4881,10779,24736
'15121100,Crude sunflower-seed or safflower oil,11,0,73,96,1,937,7395,13411,18092,24693
'39076100,"Poly""ethylene terephthalate"", in primary forms, having a viscosity number of >= 78 ml/g",0,0,0,0,0,0,0,5616,10526,24512
'84137000,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",0,0,0,0,0,8,1653,6127,8874,23844
'31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excluding those in ...,0,0,0,0,0,8,16197,19829,,23700
'39012010,"Polyethylene with a specific gravity of >= 0,94, in primary forms: granules",0,0,0,0,0,0,0,19320,46712,23574
'84281000,Lifts and skip hoists,6088,4167,5493,11800,10080,11347,8936,17444,15145,23390
'48202000,Exercise books of paper or paperboard,14581,16745,11338,14107,22505,26963,17925,15322,14843,23205
'39011010,"Polyethylene with a specific gravity of < 0,94, in primary forms: granules",0,0,0,0,0,0,0,15031,35501,23167
'69074000,Finishing ceramics (excl. refractory),0,0,0,0,0,0,0,10782,24997,22831
'94036000,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",9291,10413,12731,17282,17944,20399,20257,21925,24022,22106
'84381000,"Bakery machinery and machinery for the industrial preparation or manufacture of macaroni, spaghetti ...",0,0,19318,23340,6665,11144,10649,12408,6252,21367
'74081900,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",10057,18622,31487,21413,28827,15180,9681,18590,14586,21172
'79011100,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",17029,24992,26585,24967,35331,25961,25485,28822,25991,21013
'73030000,"Tubes, pipes and hollow profiles, of cast iron",12494,19605,21205,4651,0,0,1484,9947,39368,20822
'85372000,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",26878,11871,23641,56038,51017,92189,64173,27356,22909,20812
'87042113,"Motor vehicles for the transport of goods, with compression-ignition internal combustion piston ...",0,0,0,0,0,0,0,7502,30337,20679
'30066000,"Chemical contraceptive preparations based on hormones, prostaglandins, thromboxanes, leukotrienes, ...",34346,30388,13279,13100,9921,21636,16261,12313,15771,20640
